quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01,Q01_corr,Q02,Q02_corr,Q03,Q03_corr,Q04,Q04_corr,Q05,Q05_corr,Q06,Q06_corr,Q07,Q07_corr,Q08,Q08_corr,Q09v1,Q09v2,Q09_corr,Q10,Q10_corr,Q11,Q11_corr,Q12,Q12_corr,Q13,Q13_corr,Q14,Q14_corr,Q15,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19,Q19_corr,Q20,Q20_corr
W01Q01,146,20-Aug-13,4:07:00 PM,2270581,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,2,0,1,1,1,1,1,1,1,1,1,1,2,0
W01Q01,156,20-Aug-13,4:56:00 PM,4373579,1,1,1,1,1,1,4,0,1,1,1,1,4,0,1,1,5,9997,0,1,1,5,0,1,1,1,1,2,0,4,0,2,0,4,0,4,0,2,0,3,0
W01Q01,194,20-Aug-13,7:18:00 PM,3330205,1,1,1,1,1,1,2,1,1,1,1,1,2,0,1,1,9997,3,0,2,0,2,0,1,1,5,0,1,1,1,1,1,1,1,1,3,0,2,0,1,1
W01Q01,202,20-Aug-13,7:42:00 PM,1012958,1,1,1,1,5,0,1,1,1,1,1,1,1,1,1,1,1,9997,1,3,0,2,0,1,1,1,1,2,0,1,1,1,1,1,1,1,1,2,0,1,1
W01Q01,203,20-Aug-13,7:44:00 PM,2339048,1,1,1,1,1,1,5,0,1,1,1,1,1,1,1,1,1,9997,1,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,5,0
W01Q01,210,20-Aug-13,8:15:00 PM,4309323,1,1,1,1,5,0,2,1,1,1,3,0,2,0,1,1,1,9997,1,3,0,1,1,4,0,5,0,3,0,2,0,1,1,1,1,5,0,3,0,5,0
W01Q01,211,20-Aug-13,8:18:00 PM,1881583,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,9997,3,0,2,0,2,0,1,1,1,1,2,0,1,1,3,0,4,0,2,0,4,0,3,0
W01Q01,215,20-Aug-13,8:30:00 PM,2663807,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,2,0,1,1,1,1,1,1,1,1,2,0,1,1,5,0,5,0,4,0
W01Q01,231,20-Aug-13,9:55:00 PM,4214735,4,0,1,1,1,1,5,0,1,1,3,0,5,0,4,0,4,9997,0,5,0,5,0,4,0,1,1,2,0,1,1,5,0,5,0,1,1,1,1,2,0
W01Q01,240,20-Aug-13,10:24:00 PM,3040923,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,2,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0,9999,0
W01Q01,248,20-Aug-13,11:24:00 PM,702531,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,9997,1,3,0,1,1,2,0,1,1,4,0,1,1,2,0,5,0,1,1,2,0,2,0
W01Q01,249,20-Aug-13,11:46:00 PM,2218696,1,1,1,1,1,1,4,0,1,1,1,1,1,1,1,1,1,9997,1,5,0,1,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1
W01Q01,250,20-Aug-13,11:49:00 PM,773066,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,1,1,2,0
W01Q01,252,20-Aug-13,11:52:00 PM,1894057,1,1,1,1,5,0,5,0,1,1,1,1,1,1,1,1,2,9997,0,5,0,1,1,4,0,1,1,2,0,1,1,2,0,1,1,5,0,2,0,2,0
W01Q01,256,21-Aug-13,12:15:00 AM,4411922,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
W01Q01,264,21-Aug-13,12:34:00 AM,4422505,1,1,1,1,1,1,5,0,1,1,1,1,1,1,1,1,1,9997,1,2,0,1,1,4,0,1,1,2,0,1,1,2,0,1,1,1,1,5,0,5,0
W01Q01,285,21-Aug-13,2:42:00 AM,1703168,1,1,1,1,1,1,2,1,1,1,3,0,1,1,1,1,1,9997,1,5,0,5,0,4,0,1,1,4,0,1,1,5,0,1,1,1,1,1,1,5,0
W01Q01,293,21-Aug-13,3:33:00 AM,2561479,1,1,1,1,1,1,5,0,1,1,1,1,5,0,1,1,9997,5,0,5,0,1,1,4,0,1,1,1,1,5,0,1,1,1,1,2,0,5,0,1,1
W01Q01,304,21-Aug-13,4:43:00 AM,4206221,1,1,2,0,1,1,4,0,1,1,1,1,1,1,1,1,9997,1,1,3,0,1,1,4,0,1,1,1,1,1,1,1,1,1,1,5,0,2,0,5,0
W01Q01,320,21-Aug-13,6:55:00 AM,134950,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,0,9997,1,1,1,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0
W01Q01,324,21-Aug-13,7:31:00 AM,3037827,1,1,1,1,4,0,4,0,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,1,1,1,1,2,0,1,1,5,0,1,1,1,1
W01Q01,338,21-Aug-13,8:50:00 AM,3337666,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,9997,1,4,0,2,0,4,0,1,1,2,0,1,1,1,1,4,0,4,0,4,0,3,0
W01Q01,344,21-Aug-13,9:04:00 AM,2349837,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,3,0,2,0,1,1,1,1,2,0,1,1,1,1,1,1,5,0,1,1,4,0
W01Q01,345,21-Aug-13,9:13:00 AM,2353559,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,9997,2,0,1,1,1,1,1,1,1,1,1,1,1,1,2,0,3,0,2,0,3,0,4,0
W01Q01,362,21-Aug-13,10:32:00 AM,4094087,1,1,1,1,1,1,4,0,1,1,1,1,1,1,1,1,1,9997,1,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0
W01Q01,363,21-Aug-13,10:37:00 AM,1016736,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,0,1,9997,1,5,0,4,0,1,1,1,1,1,1,1,1,1,1,3,0,4,0,5,0,4,0
W01Q01,374,21-Aug-13,11:30:00 AM,2099442,1,1,1,1,4,0,4,0,3,0,3,0,2,0,3,0,9997,1,1,3,0,5,0,5,0,2,0,1,1,4,0,1,1,4,0,4,0,5,0,1,1
W01Q01,376,21-Aug-13,11:45:00 AM,4275444,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,9997,5,0,3,0,1,1,4,0,5,0,2,0,5,0,1,1,2,0,3,0,4,0,1,1
W01Q01,378,21-Aug-13,11:47:00 AM,4199345,5,0,1,1,1,1,1,1,2,0,2,0,2,0,2,0,4,9997,0,2,0,5,0,4,0,4,0,2,0,4,0,1,1,4,0,2,0,2,0,4,0
W01Q01,383,21-Aug-13,12:07:00 PM,4154047,1,1,1,1,1,1,5,0,1,1,1,1,1,1,3,0,2,9997,0,4,0,5,0,1,1,2,0,4,0,1,1,1,1,3,0,1,1,2,0,2,0
W01Q01,384,21-Aug-13,12:09:00 PM,2664672,1,1,1,1,1,1,1,1,1,1,3,0,3,0,1,1,2,9997,0,1,1,2,0,1,1,1,1,2,0,1,1,1,1,1,1,5,0,4,0,1,1
W01Q01,386,21-Aug-13,12:14:00 PM,3302951,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,9997,0,1,1,1,1,4,0,1,1,4,0,4,0,2,0,1,1,2,0,3,0,5,0
W01Q01,389,21-Aug-13,12:38:00 PM,4385093,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,9997,1,5,0,2,0,4,0,1,1,1,1,1,1,2,0,1,1,1,1,3,0,4,0
W01Q01,396,21-Aug-13,1:08:00 PM,2103276,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,4,0,1,1,2,0,1,1,1,1,1,1,2,0,2,0,4,0
W01Q01,420,21-Aug-13,3:27:00 PM,4215150,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,1,1,2,0,2,0
W01Q01,442,21-Aug-13,4:46:00 PM,4046750,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,4,0
W01Q01,446,21-Aug-13,4:53:00 PM,4077910,1,1,1,1,1,1,1,1,1,1,1,1,5,0,1,1,9997,2,0,2,0,1,1,4,0,3,0,3,0,2,0,2,0,1,1,5,0,2,0,5,0
