quiz,submission_date,submission_time,submission_id,coursera_user_id,Q01,Q01_corr,Q02,Q02_corr,Q03,Q03_corr,Q04,Q04_corr,Q05v1,Q05v2,Q05v3,Q05_corr,Q06v1,Q06v2,Q06_corr,Q07,Q07_corr,Q08v1,Q08v2,Q08_corr,Q09,Q09_corr,Q10,Q10_corr,Q11,Q11_corr,Q12v1,Q12v2,Q12v3,Q12_corr,Q13,Q13_corr,Q14v1,Q14v2,Q14v3,Q14_corr,Q15v1,Q15v2,Q15v3,Q15v4,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19,Q19_corr,Q20,Q20_corr
W02Q01,30-Aug-13,2:32:00 PM,5096,4288630,1,1,1,1,4,0,5,0,2,9997,9997,0,9997,1,1,3,0,3,9997,0,2,0,4,0,1,1,9999,9999,9999,0,1,1,9997,1,9997,1,5,9997,9997,9997,0,3,0,3,0,4,0,9999,0,4,0
W02Q01,30-Aug-13,2:55:00 PM,5116,4361385,1,1,1,1,1,1,1,1,9997,9997,1,1,9997,1,1,5,0,9997,1,1,1,1,4,0,1,1,3,9997,9997,0,5,0,1,9997,9997,1,9997,1,9997,9997,1,1,1,1,1,1,1,9999,0,1,1
W02Q01,30-Aug-13,3:36:00 PM,5155,2941940,1,1,3,0,1,1,1,1,9997,9997,1,1,1,9997,1,1,1,1,9997,1,1,1,1,1,2,0,9997,4,9997,0,1,1,9997,1,9997,1,9997,4,9997,9997,0,1,1,5,0,1,1,9999,0,1,1
W02Q01,30-Aug-13,4:52:00 PM,5218,3316362,1,1,1,1,4,0,1,1,9997,9997,1,1,9997,1,1,1,1,1,9997,1,1,1,1,1,1,1,9997,5,9997,0,1,1,1,9997,9997,1,9997,9997,1,9997,1,4,0,1,1,1,1,9999,0,1,1
W02Q01,30-Aug-13,4:52:00 PM,5220,2454148,1,1,4,0,1,1,2,0,9997,9997,4,0,9997,4,0,1,1,9997,1,1,2,0,4,0,1,1,9997,1,9997,1,4,0,3,9997,9997,0,9997,9997,9997,1,1,1,1,3,0,5,0,5,0,5,0
W02Q01,30-Aug-13,6:20:00 PM,5279,2436921,1,1,3,0,1,1,1,1,1,9997,9997,1,9997,1,1,1,1,1,9997,1,1,1,1,1,1,1,9997,4,9997,0,1,1,1,9997,9997,1,1,9997,9997,9997,1,1,1,2,0,1,1,9999,0,1,1
W02Q01,30-Aug-13,6:43:00 PM,5301,1856945,1,1,3,0,1,1,1,1,9997,1,9997,1,9997,5,0,1,1,1,9997,1,4,0,1,1,1,1,9997,1,9997,1,5,0,1,9997,9997,1,9997,5,9997,9997,0,2,0,1,1,2,0,1,1,1,1
W02Q01,30-Aug-13,7:54:00 PM,5355,2445791,1,1,1,1,1,1,1,1,9997,9997,1,1,9997,1,1,1,1,1,9997,1,1,1,1,1,1,1,9997,1,9997,1,3,0,9997,9997,1,1,9997,9997,1,9997,1,1,1,1,1,1,1,1,1,1,1
W02Q01,30-Aug-13,8:31:00 PM,5384,4061349,1,1,1,1,1,1,1,1,9997,9997,1,1,1,9997,1,1,1,1,9997,1,1,1,1,1,2,0,2,9997,9997,0,5,0,9997,4,9997,0,1,9997,9997,9997,1,1,1,1,1,1,1,1,1,1,1
W02Q01,30-Aug-13,8:54:00 PM,5403,3896646,4,0,9999,0,4,0,1,1,9997,1,9997,1,9997,1,1,3,0,1,9997,1,1,1,1,1,5,0,9997,9997,1,1,5,0,9997,9997,1,1,9997,9997,9997,5,0,1,1,1,1,1,1,1,1,9999,0
W02Q01,30-Aug-13,9:07:00 PM,5412,2353559,1,1,1,1,4,0,1,1,1,9997,9997,1,9997,1,1,5,0,1,9997,1,1,1,1,1,1,1,9997,9997,2,0,3,0,1,9997,9997,1,9997,9997,1,9997,1,1,1,5,0,1,1,9999,0,1,1
W02Q01,30-Aug-13,9:26:00 PM,5426,4352036,1,1,1,1,1,1,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,1,1,1,1,1,1,1,1,9997,9997,1,1,1,9997,1,9997,1,9997,1,9997,9997,1,1,1,1,1,1,1,1,1,1,1
W02Q01,30-Aug-13,10:35:00 PM,5471,2265983,1,1,5,0,3,0,1,1,9997,9997,4,0,9997,1,1,1,1,9997,1,1,2,0,4,0,1,1,1,9997,9997,1,3,0,4,9997,9997,0,9997,9997,9997,5,0,3,0,5,0,1,1,3,0,5,0
W02Q01,30-Aug-13,10:46:00 PM,5483,2099442,1,1,5,0,5,0,2,0,9997,2,9997,0,2,9997,0,5,0,2,9997,0,1,1,2,0,3,0,2,9997,9997,0,1,1,9997,1,9997,1,5,9997,9997,9997,0,1,1,3,0,9999,0,4,0,2,0
W02Q01,31-Aug-13,2:13:00 AM,5563,1788123,1,1,1,1,1,1,1,1,9997,1,9997,1,9997,1,1,1,1,1,9997,1,1,1,1,1,1,1,9997,9997,1,1,5,0,5,9997,9997,0,9997,1,9997,9997,1,1,1,1,1,1,1,1,1,1,1
W02Q01,31-Aug-13,2:17:00 AM,5566,3240936,5,0,5,0,2,0,1,1,9997,1,9997,1,9997,5,0,5,0,9997,2,0,3,0,1,1,4,0,9997,9997,5,0,3,0,9997,9997,1,1,9997,9997,1,9997,1,3,0,1,1,2,0,5,0,5,0
W02Q01,31-Aug-13,2:40:00 AM,5579,274657,1,1,1,1,1,1,1,1,1,9997,9997,1,1,9997,1,1,1,9997,1,1,1,1,4,0,1,1,3,9997,9997,0,1,1,9997,9997,1,1,9997,1,9997,9997,1,1,1,1,1,1,1,1,1,1,1
W02Q01,31-Aug-13,3:16:00 AM,5605,2068261,1,1,1,1,4,0,1,1,9997,9997,1,1,1,9997,1,1,1,4,9997,0,2,0,1,1,5,0,5,9997,9997,0,5,0,1,9997,9997,1,9997,4,9997,9997,0,4,0,5,0,1,1,9999,0,4,0
W02Q01,31-Aug-13,4:10:00 AM,5647,2941972,1,1,3,0,1,1,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,1,1,1,1,1,5,0,9997,5,9997,0,5,0,1,9997,9997,1,9997,9997,1,9997,1,1,1,1,1,1,1,1,1,1,1
W02Q01,31-Aug-13,4:21:00 AM,5653,1701013,1,1,4,0,4,0,1,1,1,9997,9997,1,9997,1,1,5,0,1,9997,1,4,0,1,1,1,1,4,9997,9997,0,1,1,9997,9997,1,1,9997,9997,9997,4,0,1,1,1,1,1,1,3,0,1,1
W02Q01,31-Aug-13,5:47:00 AM,5691,3582746,1,1,4,0,4,0,1,1,9997,9997,1,1,9997,5,0,1,1,1,9997,1,4,0,1,1,2,0,9997,5,9997,0,1,1,9997,3,9997,0,9997,9997,9997,1,1,4,0,2,0,3,0,9999,0,1,1
W02Q01,31-Aug-13,6:37:00 AM,5717,1219231,1,1,1,1,3,0,1,1,9997,9997,1,1,9997,1,1,1,1,1,9997,1,1,1,1,1,1,1,4,9997,9997,0,5,0,1,9997,9997,1,9997,1,9997,9997,1,1,1,1,1,1,1,1,1,4,0
W02Q01,31-Aug-13,9:08:00 AM,5798,3530784,1,1,3,0,4,0,1,1,9997,9997,1,1,9997,1,1,1,1,9997,1,1,1,1,1,1,1,1,4,9997,9997,0,3,0,9997,1,9997,1,9997,4,9997,9997,0,4,0,4,0,1,1,9999,0,1,1
W02Q01,31-Aug-13,9:38:00 AM,5824,4094156,2,0,1,1,1,1,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,1,1,1,1,1,1,1,4,9997,9997,0,5,0,9997,1,9997,1,9997,9997,1,9997,1,1,1,1,1,1,1,9999,0,4,0
W02Q01,31-Aug-13,9:41:00 AM,5828,1390668,1,1,1,1,4,0,1,1,9997,1,9997,1,9997,1,1,1,1,9997,1,1,1,1,1,1,2,0,1,9997,9997,1,1,1,1,9997,9997,1,9997,1,9997,9997,1,1,1,1,1,1,1,9999,0,1,1
W02Q01,31-Aug-13,11:01:00 AM,5889,2737544,1,1,5,0,4,0,1,1,3,9997,9997,0,9997,1,1,1,1,9997,1,1,1,1,3,0,1,1,9997,9997,5,0,3,0,9997,9997,2,0,9997,1,9997,9997,1,3,0,1,1,1,1,1,1,1,1
W02Q01,31-Aug-13,11:08:00 AM,5893,2611718,1,1,3,0,1,1,1,1,9997,9997,1,1,1,9997,1,1,1,1,9997,1,1,1,1,1,1,1,9997,9997,1,1,1,1,9997,9997,1,1,9997,9997,9997,1,1,1,1,1,1,1,1,1,1,1,1
W02Q01,31-Aug-13,11:27:00 AM,5905,4238642,1,1,1,1,1,1,1,1,1,9997,9997,1,9997,1,1,1,1,1,9997,1,1,1,1,1,1,1,9997,1,9997,1,1,1,9997,1,9997,1,9997,1,9997,9997,1,1,1,1,1,1,1,9999,0,1,1
W02Q01,31-Aug-13,11:36:00 AM,5912,3957434,1,1,3,0,4,0,1,1,9997,9997,1,1,1,9997,1,1,1,9997,1,1,1,1,1,1,2,0,4,9997,9997,0,4,0,9997,9997,1,1,9997,9997,9997,1,1,1,1,1,1,1,1,1,1,4,0
W02Q01,31-Aug-13,11:40:00 AM,5915,1702755,1,1,1,1,1,1,1,1,9997,9997,1,1,1,9997,1,1,1,9997,1,1,1,1,1,1,1,1,9997,9997,2,0,1,1,9997,1,9997,1,9997,1,9997,9997,1,1,1,5,0,1,1,1,1,1,1
W02Q01,31-Aug-13,1:10:00 PM,5969,3974193,1,1,1,1,4,0,1,1,5,9997,9997,0,1,9997,1,1,1,1,9997,1,1,1,1,1,1,1,9997,5,9997,0,3,0,1,9997,9997,1,9997,9997,9997,5,0,1,1,1,1,5,0,9999,0,1,1
W02Q01,31-Aug-13,1:44:00 PM,5998,1673528,1,1,1,1,1,1,1,1,9997,9997,1,1,9997,1,1,1,1,1,9997,1,1,1,1,1,1,1,4,9997,9997,0,1,1,9997,3,9997,0,1,9997,9997,9997,1,1,1,1,1,1,1,3,0,1,1
W02Q01,31-Aug-13,3:38:00 PM,6112,3935247,1,1,3,0,1,1,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,1,1,1,1,1,1,1,9997,9997,1,1,1,1,9997,9997,1,1,9997,9997,9997,5,0,1,1,1,1,1,1,1,1,1,1
W02Q01,31-Aug-13,4:06:00 PM,6147,4215150,1,1,1,1,1,1,2,0,9997,1,9997,1,9997,1,1,1,1,9997,1,1,1,1,1,1,1,1,9997,9997,1,1,5,0,9997,1,9997,1,1,9997,9997,9997,1,1,1,5,0,1,1,1,1,1,1
W02Q01,31-Aug-13,4:09:00 PM,6154,3330205,1,1,1,1,4,0,1,1,1,9997,9997,1,9997,1,1,5,0,1,9997,1,4,0,1,1,1,1,9997,4,9997,0,2,0,9997,9997,1,1,9997,9997,1,9997,1,1,1,1,1,3,0,1,1,1,1
W02Q01,31-Aug-13,4:28:00 PM,6173,2981236,1,1,1,1,1,1,1,1,9997,9997,1,1,1,9997,1,1,1,1,9997,1,1,1,1,1,1,1,9997,9997,3,0,3,0,9997,9997,1,1,9997,1,9997,9997,1,1,1,1,1,1,1,9999,0,1,1
W02Q01,31-Aug-13,5:38:00 PM,6248,3226739,1,1,1,1,1,1,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,1,1,1,1,1,1,1,9997,9997,1,1,1,1,1,9997,9997,1,9997,1,9997,9997,1,1,1,1,1,1,1,9999,0,1,1
W02Q01,31-Aug-13,5:48:00 PM,6256,4077910,1,1,1,1,1,1,1,1,1,9997,9997,1,1,9997,1,5,0,1,9997,1,1,1,1,1,1,1,9997,9997,5,0,3,0,9997,5,9997,0,9997,9997,2,9997,0,3,0,4,0,1,1,9999,0,1,1
W02Q01,31-Aug-13,5:53:00 PM,6263,4448514,1,1,4,0,4,0,1,1,9997,9997,1,1,9997,1,1,1,1,9997,1,1,1,1,4,0,1,1,9997,1,9997,1,5,0,9997,1,9997,1,4,9997,9997,9997,0,3,0,5,0,1,1,4,0,1,1
W02Q01,31-Aug-13,6:52:00 PM,6328,3060262,1,1,1,1,1,1,1,1,9997,1,9997,1,9997,1,1,1,1,9997,1,1,1,1,1,1,2,0,9997,5,9997,0,1,1,9997,1,9997,1,9997,1,9997,9997,1,1,1,4,0,2,0,1,1,1,1
W02Q01,31-Aug-13,7:43:00 PM,6390,3261617,1,1,3,0,1,1,1,1,9997,1,9997,1,9997,1,1,1,1,9997,1,1,1,1,4,0,5,0,4,9997,9997,0,5,0,9997,9997,1,1,9997,9997,1,9997,1,3,0,1,1,5,0,9999,0,5,0
W02Q01,31-Aug-13,7:44:00 PM,6395,4259653,1,1,1,1,1,1,1,1,9997,1,9997,1,1,9997,1,1,1,1,9997,1,1,1,1,1,1,1,9997,1,9997,1,5,0,9997,1,9997,1,9997,1,9997,9997,1,1,1,1,1,1,1,9999,0,1,1
W02Q01,31-Aug-13,7:45:00 PM,6396,1047257,1,1,1,1,1,1,1,1,9997,9997,4,0,9997,1,1,1,1,4,9997,0,1,1,1,1,1,1,1,9997,9997,1,1,1,1,9997,9997,1,9997,9997,1,9997,1,1,1,1,1,2,0,1,1,1,1
