quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01,Q01_corr,Q02,Q02_corr,Q03,Q03_corr,Q04,Q04_corr,Q05,Q05_corr,Q06,Q06_corr,Q07,Q07_corr,Q08,Q08_corr,Q09,Q09_corr,Q10,Q10_corr,Q11,Q11_corr,Q12,Q12_corr,Q13v1,Q13v2,Q13_corr,Q14,Q14_corr,Q15,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19,Q19_corr,Q20v1,Q20v2,Q20_corr
W03Q01,12020,06-Sep-13,4:24:00 PM,3249958,3,0,4,0,3,0,2,0,2,0,9999,0,2,0,1,1,4,0,4,0,3,0,4,0,9997,2,0,2,0,5,0,3,0,4,0,4,0,4,0,5,9997,0
W03Q01,12121,06-Sep-13,8:05:00 PM,3726530,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,4,0,1,9997,1
W03Q01,12157,06-Sep-13,8:51:00 PM,3226739,4,0,1,1,1,1,1,1,2,0,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,2,0,1,1,2,0,1,1,4,0,1,1,9997,3,0
W03Q01,12180,06-Sep-13,9:45:00 PM,3515885,1,1,1,1,1,1,1,1,2,0,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,2,0,3,0,9997,1,1
W03Q01,12216,06-Sep-13,11:36:00 PM,3316362,2,0,1,1,1,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,5,0,3,0,1,1,9997,1,1
W03Q01,12219,06-Sep-13,11:52:00 PM,3957434,1,1,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1
W03Q01,12234,07-Sep-13,12:41:00 AM,2959831,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,1,1,3,0,1,1,1,9997,1,1,1,1,1,2,0,1,1,5,0,5,0,9997,5,0
W03Q01,12273,07-Sep-13,2:24:00 AM,3839772,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,5,0,1,1,1,9997,1,1,1,1,1,1,1,3,0,2,0,1,1,1,9997,1
W03Q01,12281,07-Sep-13,2:46:00 AM,2708721,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,4,0,1,1,1,1,5,0,1,1,5,0,1,1,1,9997,1
W03Q01,12300,07-Sep-13,3:37:00 AM,1788123,1,1,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,9997,1
W03Q01,12306,07-Sep-13,3:49:00 AM,1701013,1,1,1,1,1,1,1,1,1,1,9999,0,5,0,1,1,1,1,1,1,5,0,1,1,9997,2,0,1,1,1,1,2,0,1,1,5,0,1,1,1,9997,1
W03Q01,12334,07-Sep-13,5:36:00 AM,3330205,2,0,1,1,1,1,2,0,1,1,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,4,0,2,9997,0
W03Q01,12343,07-Sep-13,6:02:00 AM,2353559,2,0,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,2,0,1,1,4,0,1,9997,1
W03Q01,12345,07-Sep-13,6:04:00 AM,3582746,1,1,1,1,1,1,4,0,3,0,9999,0,1,1,1,1,4,0,1,1,1,1,1,1,9997,4,0,1,1,2,0,1,1,2,0,1,1,3,0,1,9997,1
W03Q01,12348,07-Sep-13,6:14:00 AM,2135728,1,1,5,0,5,0,2,0,1,1,9999,0,1,1,3,0,5,0,1,1,5,0,4,0,5,9997,0,5,0,5,0,1,1,1,1,5,0,5,0,9997,5,0
W03Q01,12354,07-Sep-13,6:22:00 AM,2737544,3,0,1,1,5,0,1,1,1,1,1,1,5,0,1,1,3,0,1,1,3,0,1,1,9997,3,0,2,0,4,0,2,0,5,0,4,0,1,1,9997,1,1
W03Q01,12371,07-Sep-13,7:33:00 AM,1390668,3,0,1,1,1,1,1,1,4,0,9999,0,5,0,1,1,1,1,3,0,1,1,1,1,1,9997,1,4,0,4,0,2,0,1,1,2,0,5,0,9997,1,1
W03Q01,12423,07-Sep-13,10:59:00 AM,4224622,1,1,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,1,1,5,0,1,9997,1
W03Q01,12443,07-Sep-13,11:57:00 AM,3244213,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,5,0,1,1,9997,1,1,1,1,1,1,1,1,4,0,4,0,1,1,1,9997,1
W03Q01,12527,07-Sep-13,3:15:00 PM,4046750,1,1,1,1,1,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,2,0,4,0,1,1,9997,1,1
W03Q01,12530,07-Sep-13,3:19:00 PM,2134177,2,0,1,1,1,1,4,0,4,0,4,0,5,0,1,1,3,0,3,0,1,1,1,1,1,9997,1,5,0,5,0,2,0,1,1,2,0,1,1,1,9997,1
W03Q01,12540,07-Sep-13,3:35:00 PM,274657,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,3,0,1,1,1,1,2,0,1,1,2,0,3,0,9997,1,1
W03Q01,12582,07-Sep-13,4:39:00 PM,3123158,3,0,1,1,1,1,1,1,3,0,9999,0,1,1,1,1,1,1,3,0,3,0,1,1,9997,3,0,1,1,1,1,2,0,5,0,2,0,1,1,1,9997,1
W03Q01,12631,07-Sep-13,5:41:00 PM,3670186,4,0,1,1,1,1,1,1,5,0,1,1,5,0,1,1,5,0,1,1,1,1,1,1,9997,1,1,1,1,1,1,2,0,1,1,2,0,1,1,9997,4,0
W03Q01,12632,07-Sep-13,5:43:00 PM,3064101,2,0,1,1,1,1,1,1,4,0,1,1,5,0,1,1,3,0,3,0,5,0,1,1,1,9997,1,2,0,4,0,2,0,2,0,1,1,5,0,1,9997,1
W03Q01,12635,07-Sep-13,5:49:00 PM,4589122,2,0,1,1,2,0,4,0,4,0,5,0,2,0,3,0,1,1,1,1,5,0,1,1,1,9997,1,1,1,5,0,5,0,5,0,5,0,5,0,2,9997,0
W03Q01,12647,07-Sep-13,6:03:00 PM,3504304,1,1,1,1,1,1,1,1,2,0,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,1,1,4,0,1,9997,1
W03Q01,12652,07-Sep-13,6:07:00 PM,2099442,5,0,5,0,5,0,1,1,4,0,4,0,3,0,4,0,4,0,5,0,5,0,3,0,9997,4,0,2,0,4,0,3,0,3,0,5,0,4,0,9997,1,1
W03Q01,12684,07-Sep-13,6:59:00 PM,4007367,3,0,1,1,1,1,1,1,2,0,9999,0,1,1,1,1,1,1,1,1,1,1,2,0,9997,2,0,1,1,1,1,2,0,1,1,1,1,5,0,9997,4,0
W03Q01,12713,07-Sep-13,7:48:00 PM,4346505,1,1,1,1,1,1,1,1,4,0,1,1,1,1,1,1,1,1,4,0,1,1,1,1,9997,1,1,1,1,1,1,2,0,1,1,1,1,1,1,9997,1,1
W03Q01,12717,07-Sep-13,7:53:00 PM,3098349,1,1,1,1,1,1,1,1,1,1,9999,0,2,0,1,1,1,1,1,1,1,1,1,1,1,9997,1,5,0,3,0,2,0,2,0,1,1,2,0,9997,4,0
W03Q01,12728,07-Sep-13,8:11:00 PM,2360596,2,0,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,1,1,1,1,3,0,1,1,9997,1,1,3,0,1,1,2,0,1,1,4,0,1,1,9997,1,1
W03Q01,12736,07-Sep-13,8:23:00 PM,4548660,1,1,1,1,1,1,4,0,1,1,9999,0,1,1,1,1,3,0,1,1,1,1,1,1,9997,3,0,1,1,1,1,2,0,1,1,4,0,3,0,1,9997,1
W03Q01,12742,07-Sep-13,8:36:00 PM,3845799,4,0,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,3,0,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,1,1,5,0,9997,4,0
W03Q01,12814,07-Sep-13,10:48:00 PM,2706354,1,1,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,1,1,1,1,1,1,9999,0,9997,2,0,1,1,1,1,2,0,1,1,4,0,1,1,3,9997,0
W03Q01,12888,08-Sep-13,1:03:00 AM,3898678,3,0,1,1,1,1,1,1,4,0,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,9997,4,0,3,0,2,0,1,1,2,0,1,1,2,0,9997,5,0
W03Q01,12934,08-Sep-13,2:37:00 AM,2894129,1,1,1,1,1,1,1,1,3,0,1,1,1,1,1,1,1,1,3,0,1,1,1,1,9997,3,0,1,1,1,1,1,1,1,1,4,0,3,0,9997,2,0
W03Q01,13042,08-Sep-13,6:53:00 AM,3296105,2,0,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,1,1,3,0,1,1,1,1,9997,3,0,3,0,1,1,2,0,3,0,1,1,4,0,1,9997,1
W03Q01,13064,08-Sep-13,7:40:00 AM,864050,1,1,1,1,1,1,1,1,4,0,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,1,1,1,1,1,9997,1
W03Q01,13074,08-Sep-13,8:05:00 AM,3763979,4,0,1,1,5,0,1,1,1,1,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,2,0,1,1,4,0,3,0,9997,3,0
W03Q01,13117,08-Sep-13,9:13:00 AM,2265983,2,0,1,1,5,0,4,0,4,0,9999,0,5,0,1,1,1,1,4,0,3,0,1,1,1,9997,1,5,0,2,0,2,0,4,0,3,0,1,1,1,9997,1
W03Q01,13120,08-Sep-13,9:17:00 AM,3485290,3,0,1,1,1,1,1,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,5,0,1,1,1,1,1,1,1,1,2,0,1,1,9997,5,0
W03Q01,13160,08-Sep-13,10:24:00 AM,547508,1,1,1,1,1,1,1,1,4,0,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,2,0,4,0,1,9997,1
W03Q01,13259,08-Sep-13,12:53:00 PM,2271959,1,1,1,1,1,1,2,0,4,0,9999,0,1,1,1,1,3,0,3,0,1,1,1,1,9997,2,0,3,0,1,1,2,0,4,0,1,1,3,0,1,9997,1
W03Q01,13302,08-Sep-13,1:47:00 PM,3974193,2,0,1,1,1,1,1,1,4,0,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,4,0,2,0,2,9997,0
W03Q01,13355,08-Sep-13,2:43:00 PM,1042311,2,0,1,1,1,1,3,0,1,1,9999,0,5,0,1,1,1,1,1,1,3,0,1,1,1,9997,1,1,1,4,0,2,0,5,0,1,1,1,1,9997,2,0
W03Q01,13418,08-Sep-13,3:36:00 PM,2350520,1,1,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,3,0,4,0,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,1,1,2,0,9997,1,1
W03Q01,13447,08-Sep-13,3:57:00 PM,1258814,3,0,1,1,1,1,4,0,5,0,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,2,0,1,1,4,0,9997,1,1
W03Q01,13458,08-Sep-13,4:05:00 PM,4168258,3,0,1,1,1,1,1,1,1,1,9999,0,5,0,1,1,3,0,1,1,5,0,1,1,9997,1,1,1,1,1,1,2,0,4,0,9999,0,3,0,9997,4,0
W03Q01,13465,08-Sep-13,4:08:00 PM,3501278,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,1,1,1,1,1,1,9997,1,1,1,1,2,0,2,0,1,1,5,0,1,1,1,9997,1
W03Q01,13594,08-Sep-13,5:49:00 PM,4402419,1,1,1,1,1,1,1,1,2,0,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,2,0,3,0,9997,2,0
W03Q01,13619,08-Sep-13,6:05:00 PM,1528511,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,2,0,3,0,9997,1,1
W03Q01,13655,08-Sep-13,6:25:00 PM,3368928,4,0,1,1,1,1,1,1,4,0,9999,0,1,1,5,0,1,1,1,1,2,0,1,1,1,9997,1,1,1,1,1,2,0,1,1,5,0,3,0,1,9997,1
W03Q01,13762,08-Sep-13,7:40:00 PM,3214220,4,0,1,1,1,1,1,1,4,0,9999,0,1,1,1,1,3,0,3,0,5,0,1,1,1,9997,1,5,0,1,1,1,1,5,0,3,0,1,1,9997,1,1
W03Q01,13854,08-Sep-13,8:36:00 PM,2265384,5,0,3,0,5,0,1,1,5,0,4,0,1,1,3,0,5,0,4,0,5,0,3,0,9997,3,0,4,0,2,0,3,0,3,0,1,1,2,0,9997,5,0
W03Q01,13860,08-Sep-13,8:38:00 PM,2337803,2,0,1,1,1,1,2,0,1,1,9999,0,1,1,1,1,3,0,1,1,1,1,1,1,9997,3,0,1,1,1,1,2,0,1,1,5,0,5,0,9997,5,0
W03Q01,13955,08-Sep-13,9:33:00 PM,4371365,1,1,1,1,1,1,2,0,4,0,1,1,1,1,1,1,1,1,2,0,1,1,1,1,9997,2,0,1,1,1,1,1,1,5,0,2,0,5,0,1,9997,1
