quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01v1,Q01v2,Q01v3,Q01_corr,Q02v1,Q02v2,Q02_corr,Q03v1,Q03v2,Q03v3,Q03v4,Q03_corr,Q04v1,Q04v2,Q04v3,Q04v4,Q04v5,Q04v6,Q04v7,Q04_corr,Q05,Q05_corr,Q06v1,Q06v2,Q06_corr,Q07v1,Q07v2,Q07v3,Q07v4,Q07v5,Q07_corr,Q08v1,Q08v2,Q08v3,Q08v4,Q08_corr,Q09v1,Q09v2,Q09v3,Q09_corr,Q10v1,Q10v2,Q10_corr,Q11v1,Q11v2,Q11v3,Q11_corr,Q12v1,Q12v2,Q12v3,Q12_corr,Q13,Q13_corr,Q14,Q14_corr,Q15v1,Q15v2,Q15v3,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18v1,Q18v2,Q18_corr,Q19,Q19_corr,Q20,Q20_corr
W04Q01,16175,13-Sep-13,3:10:00 PM,4215150,9997,9997,1,1,1,9997,1,9997,1,9997,9997,1,9997,9997,9997,3,9997,9997,9997,0,1,1,9997,1,1,9997,9997,1,9997,9997,1,3,9997,9997,9997,0,9997,9997,1,1,1,9997,1,9997,9997,5,0,9997,9997,1,1,1,1,1,1,9997,9997,1,1,1,1,2,0,5,9997,0,2,1,2,0
W04Q01,16177,13-Sep-13,3:11:00 PM,4361385,9997,9997,1,1,9997,1,1,9997,9997,9997,1,1,1,9997,9997,9997,9997,9997,9997,1,1,1,9997,1,1,9997,9997,1,9997,9997,1,9997,9997,1,9997,1,9997,9997,1,1,9997,1,1,9997,9997,1,1,9997,1,9997,1,1,1,2,0,9997,1,9997,1,1,1,1,1,1,9997,1,1,1,2,0
W04Q01,16181,13-Sep-13,3:16:00 PM,3504304,9997,9997,1,1,1,9997,1,9997,1,9997,9997,1,9997,9997,9997,3,9997,9997,9997,0,1,1,1,9997,1,9997,9997,1,9997,9997,1,9997,1,9997,9997,1,9997,1,9997,1,9997,1,1,1,9997,9997,1,9997,9997,1,1,1,1,1,1,9997,1,9997,1,1,1,1,1,9997,1,1,1,1,3,0
W04Q01,16294,13-Sep-13,8:37:00 PM,3330205,9997,1,9997,1,9997,1,1,9997,9997,9997,4,0,9997,9997,9997,9997,9997,9997,1,1,1,1,9997,1,1,9997,9997,9997,1,9997,1,2,9997,9997,9997,0,9997,9997,1,1,2,9997,0,9997,9997,5,0,9997,9997,1,1,1,1,1,1,9997,9997,1,1,5,0,4,0,1,9997,1,3,1,3,0
W04Q01,16334,13-Sep-13,10:44:00 PM,2706354,9997,9997,1,1,1,9997,1,9997,9997,9997,1,1,9997,1,9997,9997,9997,9997,9997,1,1,1,9997,1,1,1,9997,9997,9997,9997,1,9997,1,9997,9997,1,9997,9997,1,1,1,9997,1,9997,1,9997,1,1,9997,9997,1,1,1,1,1,9997,9997,1,1,1,1,1,1,1,9997,1,1,1,1,1
W04Q01,16342,13-Sep-13,11:15:00 PM,1788123,1,9997,9997,1,1,9997,1,9997,9997,1,9997,1,9997,9997,1,9997,9997,9997,9997,1,1,1,9997,1,1,9997,9997,9997,9997,1,1,9997,9997,1,9997,1,9997,9997,1,1,1,9997,1,1,9997,9997,1,1,9997,9997,1,1,1,1,1,9997,9997,1,1,1,1,1,1,1,9997,1,2,1,5,0
W04Q01,16375,14-Sep-13,1:57:00 AM,2353559,9997,9997,1,1,1,9997,1,9997,9997,1,9997,1,9997,9997,9997,1,9997,9997,9997,1,1,1,9997,1,1,9997,9997,1,9997,9997,1,9997,9997,9997,5,0,9997,9997,1,1,9997,1,1,9997,1,9997,1,9997,1,9997,1,1,1,1,1,1,9997,9997,1,1,1,1,1,4,9997,0,2,1,1,1
W04Q01,16409,14-Sep-13,4:12:00 AM,1368787,9997,9997,1,1,1,9997,1,9997,1,9997,9997,1,9997,9997,9997,3,9997,9997,9997,0,1,1,9997,1,1,9997,9997,1,9997,9997,1,3,9997,9997,9997,0,9997,9997,1,1,1,9997,1,9997,1,9997,1,9997,9997,1,1,1,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,1,1,1,5,0
W04Q01,16414,14-Sep-13,4:44:00 AM,1701013,9997,2,9997,0,1,9997,1,9997,9997,1,9997,1,9997,9997,9997,9997,9997,9997,1,1,1,1,9997,1,1,9997,9997,1,9997,9997,1,9997,9997,1,9997,1,9997,9997,3,0,4,9997,0,9997,9997,5,0,1,9997,9997,1,1,1,1,1,9997,9997,1,1,1,1,2,0,9997,1,1,2,1,2,0
W04Q01,16441,14-Sep-13,7:29:00 AM,2135728,9997,9997,2,0,1,9997,1,9997,9997,9997,3,0,9997,9997,1,9997,9997,9997,9997,1,1,1,3,9997,0,9997,1,9997,9997,9997,1,9997,9997,9997,5,0,1,9997,9997,1,9997,2,0,9997,9997,2,0,1,9997,9997,1,5,0,3,0,9997,9997,1,1,2,0,1,1,4,9997,0,2,1,2,0
