quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01v1,Q01v2,Q01_corr,Q02,Q02_corr,Q03v1,Q03v2,Q03v3,Q03_corr,Q04v1,Q04v2,Q04_corr,Q05v1,Q05v2,Q05_corr,Q06v1,Q06v2,Q06v3,Q06_corr,Q07v1,Q07v2,Q07_corr,Q08v1,Q08v2,Q08_corr,Q09v1,Q09v2,Q09_corr,Q10v1,Q10v2,Q10_corr,Q11,Q11_corr,Q12,Q12_corr,Q13,Q13_corr,Q14,Q14_corr,Q15,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19,Q19_corr,Q20,Q20_corr
W05Q01,19290,20-Sep-13,6:59:00 PM,2625998,9997,1,1,1,1,4,9997,9997,0,9997,1,1,9997,5,0,5,9997,9997,0,9999,9999,0,9997,1,1,9997,1,1,1,9997,1,5,0,4,0,#NULL!,0,5,0,2,0,3,0,1,1,1,1,4,0,4,0
W05Q01,19326,20-Sep-13,9:03:00 PM,4046750,2,9997,0,4,0,9997,1,9997,1,9997,1,1,9997,6,0,9997,9997,1,1,9999,9999,0,1,9997,1,9997,5,0,1,9997,1,4,0,3,0,#NULL!,0,3,0,3,0,1,1,1,1,1,1,3,0,1,1
W05Q01,19333,20-Sep-13,9:20:00 PM,465645,1,9997,1,1,1,1,9997,9997,1,9997,1,1,9997,1,1,9997,9997,1,1,9999,9999,0,1,9997,1,4,9997,0,9997,1,1,1,1,1,1,#NULL!,0,5,0,1,1,9999,0,4,0,5,0,1,1,1,1
W05Q01,19361,20-Sep-13,11:07:00 PM,2923593,9997,1,1,1,1,1,9997,9997,1,1,9997,1,9997,1,1,9997,1,9997,1,9999,9999,0,9997,1,1,9997,1,1,9997,1,1,5,0,3,0,#NULL!,0,5,0,2,0,1,1,1,1,1,1,3,0,1,1
W05Q01,19368,20-Sep-13,11:40:00 PM,4196273,9997,1,1,2,0,9997,9997,1,1,9997,1,1,1,9997,1,1,9997,9997,1,9999,9999,0,1,9997,1,9997,1,1,1,9997,1,5,0,3,0,#NULL!,0,3,0,2,0,3,0,1,1,1,1,1,1,1,1
W05Q01,19373,21-Sep-13,12:11:00 AM,2218696,9997,1,1,5,0,9997,9997,1,1,9997,1,1,9997,1,1,1,9997,9997,1,9999,9999,0,1,9997,1,9997,1,1,9997,1,1,5,0,3,0,#NULL!,0,5,0,1,1,1,1,1,1,1,1,3,0,1,1
W05Q01,19393,21-Sep-13,2:06:00 AM,254150,9997,1,1,1,1,1,9997,9997,1,9997,1,1,9997,1,1,5,9997,9997,0,9999,9999,0,1,9997,1,9997,1,1,9997,1,1,1,1,3,0,#NULL!,0,3,0,2,0,3,0,1,1,1,1,3,0,1,1
W05Q01,19395,21-Sep-13,2:21:00 AM,1703168,1,9997,1,1,1,9997,9997,1,1,1,9997,1,9997,1,1,9997,1,9997,1,9999,9999,0,9997,1,1,9997,1,1,1,9997,1,5,0,2,0,#NULL!,0,1,1,2,0,1,1,1,1,1,1,3,0,1,1
W05Q01,19405,21-Sep-13,2:46:00 AM,2638990,1,9997,1,1,1,1,9997,9997,1,9997,1,1,9997,1,1,9997,5,9997,0,9999,9999,0,1,9997,1,1,9997,1,9997,1,1,1,1,1,1,#NULL!,0,2,0,4,0,4,0,5,0,5,0,1,1,1,1
W05Q01,19471,21-Sep-13,8:43:00 AM,1773515,9997,1,1,4,0,9997,6,9997,0,9997,1,1,9997,1,1,9997,9997,1,1,9999,9999,0,1,9997,1,9997,1,1,1,9997,1,1,1,3,0,#NULL!,0,1,1,5,0,1,1,1,1,1,1,1,1,1,1
W05Q01,19472,21-Sep-13,8:44:00 AM,2737544,5,9997,0,1,1,9997,9997,1,1,9997,1,1,9997,1,1,4,9997,9997,0,9999,9999,0,9997,1,1,2,9997,0,1,9997,1,5,0,4,0,#NULL!,0,4,0,2,0,3,0,2,0,5,0,1,1,4,0
W05Q01,19483,21-Sep-13,9:58:00 AM,1161754,9997,1,1,1,1,9997,7,9997,0,9997,1,1,1,9997,1,1,9997,9997,1,9999,9999,0,9997,1,1,4,9997,0,9997,1,1,1,1,4,0,#NULL!,0,4,0,1,1,3,0,1,1,1,1,1,1,1,1
W05Q01,19484,21-Sep-13,9:58:00 AM,1788123,9997,1,1,1,1,9997,9997,1,1,1,9997,1,9997,1,1,9997,9997,1,1,9999,9999,0,1,9997,1,1,9997,1,9997,1,1,1,1,2,0,#NULL!,0,5,0,1,1,1,1,1,1,1,1,1,1,1,1
W05Q01,19494,21-Sep-13,10:34:00 AM,4288630,1,9997,1,5,0,9997,9997,1,1,9997,2,0,2,9997,0,9997,3,9997,0,9999,9999,0,2,9997,0,2,9997,0,9997,2,0,5,0,1,1,#NULL!,0,2,0,5,0,5,0,4,0,5,0,4,0,3,0
W05Q01,19504,21-Sep-13,10:56:00 AM,3226739,1,9997,1,3,0,9997,1,9997,1,9997,1,1,9997,1,1,1,9997,9997,1,9999,9999,0,9997,1,1,1,9997,1,1,9997,1,1,1,3,0,#NULL!,0,5,0,1,1,1,1,1,1,1,1,1,1,1,1
W05Q01,19506,21-Sep-13,11:10:00 AM,4426147,1,9997,1,5,0,9997,9997,1,1,9997,1,1,9997,1,1,1,9997,9997,1,9999,9999,0,9997,1,1,9997,3,0,1,9997,1,1,1,2,0,#NULL!,0,3,0,2,0,4,0,1,1,1,1,3,0,2,0
W05Q01,19530,21-Sep-13,12:30:00 PM,3330205,9997,1,1,1,1,9997,6,9997,0,1,9997,1,9997,1,1,9997,9997,1,1,9999,9999,0,9997,1,1,1,9997,1,1,9997,1,4,0,3,0,#NULL!,0,3,0,2,0,3,0,1,1,1,1,1,1,1,1
W05Q01,19540,21-Sep-13,12:56:00 PM,3313653,9997,1,1,1,1,4,9997,9997,0,1,9997,1,5,9997,0,9997,9997,5,0,9999,9999,0,1,9997,1,1,9997,1,4,9997,0,5,0,3,0,#NULL!,0,3,0,1,1,3,0,1,1,1,1,1,1,1,1
W05Q01,19549,21-Sep-13,1:41:00 PM,2353559,1,9997,1,1,1,1,9997,9997,1,9997,1,1,4,9997,0,9997,5,9997,0,9999,9999,0,9997,1,1,9997,1,1,1,9997,1,1,1,3,0,#NULL!,0,3,0,1,1,1,1,4,0,1,1,1,1,1,1
W05Q01,19579,21-Sep-13,3:02:00 PM,4162371,1,9997,1,4,0,9997,9997,1,1,1,9997,1,1,9997,1,9997,9997,1,1,9999,9999,0,1,9997,1,1,9997,1,1,9997,1,5,0,3,0,#NULL!,0,3,0,2,0,4,0,1,1,1,1,3,0,2,0
W05Q01,19594,21-Sep-13,3:50:00 PM,1701013,1,9997,1,1,1,1,9997,9997,1,1,9997,1,1,9997,1,1,9997,9997,1,9999,9999,0,5,9997,0,1,9997,1,1,9997,1,5,0,4,0,#NULL!,0,3,0,2,0,1,1,1,1,1,1,1,1,1,1
W05Q01,19597,21-Sep-13,4:05:00 PM,3824363,9997,1,1,1,1,9997,9997,1,1,1,9997,1,1,9997,1,9997,1,9997,1,9999,9999,0,1,9997,1,1,9997,1,9997,1,1,5,0,3,0,#NULL!,0,5,0,1,1,1,1,1,1,1,1,1,1,1,1
W05Q01,19611,21-Sep-13,4:39:00 PM,2997260,9997,1,1,1,1,9997,9997,1,1,1,9997,1,1,9997,1,1,9997,9997,1,9999,9999,0,9997,1,1,1,9997,1,9997,1,1,5,0,3,0,#NULL!,0,5,0,1,1,3,0,1,1,1,1,3,0,1,1
W05Q01,19613,21-Sep-13,4:48:00 PM,3670186,1,9997,1,1,1,9997,1,9997,1,1,9997,1,4,9997,0,9997,1,9997,1,9999,9999,0,1,9997,1,9997,1,1,1,9997,1,5,0,3,0,#NULL!,0,5,0,2,0,1,1,3,0,1,1,1,1,1,1
W05Q01,19625,21-Sep-13,5:37:00 PM,1390668,2,9997,0,5,0,9997,9997,1,1,1,9997,1,9997,1,1,9997,9997,5,0,9999,9999,0,1,9997,1,9997,1,1,9997,1,1,4,0,2,0,#NULL!,0,3,0,1,1,3,0,1,1,1,1,1,1,1,1
W05Q01,19628,21-Sep-13,5:44:00 PM,3807190,1,9997,1,3,0,9997,9997,1,1,9997,1,1,5,9997,0,9997,9997,5,0,9999,9999,0,9997,1,1,1,9997,1,2,9997,0,5,0,2,0,#NULL!,0,5,0,2,0,1,1,1,1,1,1,1,1,1,1
W05Q01,19641,21-Sep-13,6:08:00 PM,1793226,9997,1,1,4,0,9997,1,9997,1,1,9997,1,9997,1,1,1,9997,9997,1,9999,9999,0,9997,1,1,1,9997,1,9997,1,1,5,0,3,0,#NULL!,0,3,0,2,0,1,1,1,1,1,1,1,1,1,1
W05Q01,19646,21-Sep-13,6:18:00 PM,3205986,1,9997,1,4,0,9997,7,9997,0,9997,1,1,1,9997,1,1,9997,9997,1,9999,9999,0,1,9997,1,1,9997,1,9997,1,1,3,0,3,0,#NULL!,0,1,1,1,1,3,0,1,1,1,1,1,1,1,1
W05Q01,19665,21-Sep-13,6:57:00 PM,2043667,9997,1,1,5,0,1,9997,9997,1,9997,1,1,9997,1,1,9997,9997,1,1,9999,9999,0,1,9997,1,9997,1,1,9997,1,1,5,0,3,0,#NULL!,0,3,0,2,0,1,1,1,1,1,1,4,0,1,1
W05Q01,19680,21-Sep-13,7:35:00 PM,8955,1,9997,1,1,1,1,9997,9997,1,9997,1,1,1,9997,1,9997,9997,1,1,9999,9999,0,1,9997,1,1,9997,1,1,9997,1,1,1,3,0,#NULL!,0,5,0,1,1,1,1,1,1,1,1,1,1,1,1
W05Q01,19682,21-Sep-13,7:41:00 PM,3316362,9997,1,1,1,1,9997,1,9997,1,9997,1,1,5,9997,0,1,9997,9997,1,9999,9999,0,1,9997,1,9997,1,1,1,9997,1,5,0,3,0,#NULL!,0,4,0,2,0,1,1,1,1,1,1,1,1,1,1
