quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01,Q01_corr,Q02v1,Q02v2,Q02_corr,Q03,Q03_corr,Q04,Q04_corr,Q05v1,Q05v2,Q05_corr,Q06v1,Q06v2,Q06_corr,Q07,Q07_corr,Q08v1,Q08v2,Q08_corr,Q09v1,Q09v2,Q09_corr,Q10v1,Q10v2,Q10_corr,Q11v1,Q11v2,Q11_corr,Q12v1,Q12v2,Q12_corr,Q13v1,Q13v2,Q13_corr,Q14v1,Q14v2,Q14_corr,Q15,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19,Q19_corr,Q20,Q20_corr
W06Q01,21863,27-Sep-13,4:51:00 PM,1161754,1,1,9997,1,1,1,1,1,1,9997,1,1,1,9997,1,1,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,1,9997,1,9997,1,1,3,0,5,0,1,1,4,0,3,0,4,0
W06Q01,21887,27-Sep-13,7:04:00 PM,2091949,1,1,9997,1,1,1,1,1,1,9997,1,1,1,9997,1,1,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,9997,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1
W06Q01,21910,27-Sep-13,8:32:00 PM,4222277,1,1,1,9997,1,1,1,1,1,9997,1,1,9997,1,1,1,1,9997,1,1,9997,1,1,5,9997,0,9997,1,1,1,9997,1,9997,1,1,1,9997,1,1,1,1,1,1,1,4,0,1,1,1,1
W06Q01,21954,28-Sep-13,12:13:00 AM,1788123,1,1,1,9997,1,1,1,1,1,1,9997,1,9997,1,1,1,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1
W06Q01,21966,28-Sep-13,2:00:00 AM,4196273,1,1,1,9997,1,3,0,5,0,9997,1,1,3,9997,0,1,1,3,9997,0,9997,1,1,1,9997,1,1,9997,1,1,9997,1,1,9997,1,9997,4,0,1,1,5,0,1,1,1,1,1,1,1,1
W06Q01,22003,28-Sep-13,5:40:00 AM,2353559,1,1,9997,4,0,1,1,1,1,9997,2,0,9997,1,1,1,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,9997,1,1,2,0,5,0,1,1,1,1,1,1,2,0
W06Q01,22009,28-Sep-13,6:42:00 AM,1111057,1,1,1,9997,1,1,1,1,1,1,9997,1,9997,1,1,1,1,9997,1,1,9997,1,1,9997,1,1,1,9997,1,9997,3,0,1,9997,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,2,0
W06Q01,22015,28-Sep-13,7:23:00 AM,3330205,1,1,2,9997,0,2,0,1,1,9997,1,1,9997,3,0,1,1,9997,1,1,9997,1,1,1,9997,1,9997,3,0,1,9997,1,1,9997,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,4,0
W06Q01,22027,28-Sep-13,8:20:00 AM,2163502,1,1,1,9997,1,1,1,1,1,1,9997,1,1,9997,1,1,1,1,9997,1,9997,1,1,9997,1,1,9997,1,1,9997,1,1,1,9997,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,2,0
W06Q01,22033,28-Sep-13,8:38:00 AM,4094156,2,0,9997,3,0,1,1,5,0,9997,1,1,9997,1,1,2,0,9997,1,1,9997,1,1,2,9997,0,9997,4,0,3,9997,0,5,9997,0,3,9997,0,2,0,2,0,1,1,5,0,2,0,1,1
W06Q01,22035,28-Sep-13,8:51:00 AM,1258814,1,1,3,9997,0,1,1,1,1,1,9997,1,1,9997,1,1,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,9997,2,0,9997,1,1,1,1,4,0,1,1,1,1,1,1,3,0
W06Q01,22059,28-Sep-13,10:44:00 AM,3226739,1,1,1,9997,1,1,1,1,1,1,9997,1,9997,1,1,1,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,9997,1,1,9997,1,1,9997,1,1,5,0,1,1,1,1,1,1,1,1,4,0
W06Q01,22078,28-Sep-13,11:55:00 AM,4558382,4,0,9997,4,0,1,1,5,0,3,9997,0,9997,5,0,4,0,4,9997,0,9997,5,0,5,9997,0,9997,1,1,4,9997,0,1,9997,1,5,9997,0,2,0,4,0,1,1,1,1,3,0,5,0
W06Q01,22107,28-Sep-13,2:07:00 PM,2737544,2,0,3,9997,0,5,0,5,0,9997,3,0,2,9997,0,1,1,3,9997,0,9997,1,1,5,9997,0,3,9997,0,3,9997,0,2,9997,0,9997,4,0,2,0,5,0,4,0,3,0,2,0,1,1
W06Q01,22109,28-Sep-13,2:14:00 PM,4219148,1,1,1,9997,1,1,1,1,1,1,9997,1,4,9997,0,4,0,4,9997,0,9997,1,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,1,1,1,1,1,1,1,1,5,0,2,0
W06Q01,22123,28-Sep-13,3:04:00 PM,4215150,1,1,9997,4,0,3,0,1,1,1,9997,1,1,9997,1,1,1,1,9997,1,9997,1,1,1,9997,1,4,9997,0,9997,1,1,9997,1,1,9997,1,1,1,1,5,0,1,1,1,1,1,1,2,0
W06Q01,22131,28-Sep-13,3:41:00 PM,4046750,1,1,1,9997,1,1,1,1,1,1,9997,1,5,9997,0,2,0,9997,1,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,9997,2,0,9997,1,1,4,0,1,1,1,1,1,1,1,1,2,0
W06Q01,22132,28-Sep-13,3:42:00 PM,3824363,1,1,2,9997,0,1,1,1,1,1,9997,1,5,9997,0,1,1,9997,1,1,1,9997,1,1,9997,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,1,1,4,0,1,1,1,1,1,1,2,0
W06Q01,22146,28-Sep-13,4:16:00 PM,2923593,1,1,9997,5,0,1,1,5,0,4,9997,0,9997,1,1,2,0,9997,1,1,1,9997,1,2,9997,0,2,9997,0,1,9997,1,9997,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1
W06Q01,22156,28-Sep-13,4:46:00 PM,4438825,1,1,9997,5,0,2,0,5,0,9997,1,1,3,9997,0,2,0,9997,2,0,9997,1,1,9997,1,1,9997,3,0,4,9997,0,5,9997,0,4,9997,0,5,0,1,1,1,1,2,0,2,0,5,0
W06Q01,22180,28-Sep-13,5:56:00 PM,3515885,1,1,9997,1,1,1,1,1,1,1,9997,1,3,9997,0,2,0,9997,1,1,9997,1,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1
W06Q01,22188,28-Sep-13,6:12:00 PM,2029348,1,1,1,9997,1,1,1,5,0,9997,1,1,9997,1,1,1,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,1,1,5,0,1,1,1,1,1,1,1,1
W06Q01,22191,28-Sep-13,6:20:00 PM,2816937,1,1,9997,1,1,4,0,5,0,9997,1,1,5,9997,0,2,0,1,9997,1,9997,1,1,9997,5,0,9997,2,0,3,9997,0,9997,4,0,9997,3,0,3,0,5,0,3,0,5,0,4,0,4,0
W06Q01,22225,28-Sep-13,8:02:00 PM,2638990,1,1,1,9997,1,1,1,1,1,1,9997,1,1,9997,1,1,1,1,9997,1,9999,9999,0,1,9997,1,1,9997,1,9999,9999,0,1,9997,1,9997,1,1,2,0,1,1,1,1,2,0,1,1,2,0
W06Q01,22240,28-Sep-13,8:42:00 PM,2218696,1,1,1,9997,1,4,0,1,1,9997,2,0,9997,1,1,1,1,9997,1,1,9997,1,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1
W06Q01,22270,28-Sep-13,10:31:00 PM,8955,1,1,1,9997,1,1,1,1,1,9997,1,1,1,9997,1,1,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1
W06Q01,22272,28-Sep-13,10:41:00 PM,274657,1,1,9997,4,0,1,1,1,1,9997,1,1,9997,1,1,1,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,1,9997,1,9997,1,1,1,1,3,0,1,1,3,0,2,0,2,0
W06Q01,22295,29-Sep-13,12:45:00 AM,1703168,1,1,1,9997,1,1,1,1,1,1,9997,1,1,9997,1,1,1,1,9997,1,9997,1,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,1,9997,1,1,1,1,1,1,1,1,1,3,0,1,1
W06Q01,22308,29-Sep-13,1:53:00 AM,4259653,1,1,1,9997,1,1,1,1,1,1,9997,1,1,9997,1,1,1,3,9997,0,9997,1,1,1,9997,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1
W06Q01,22309,29-Sep-13,2:02:00 AM,2182043,4,0,9997,4,0,1,1,5,0,9997,2,0,9997,4,0,2,0,9997,4,0,1,9997,1,9997,3,0,1,9997,1,9997,3,0,9997,5,0,5,9997,0,2,0,3,0,5,0,5,0,2,0,5,0
W06Q01,22394,29-Sep-13,7:54:00 AM,2997260,1,1,1,9997,1,1,1,5,0,1,9997,1,1,9997,1,1,1,1,9997,1,1,9997,1,2,9997,0,1,9997,1,9997,1,1,9997,1,1,9997,1,1,2,0,1,1,1,1,1,1,1,1,1,1
W06Q01,22419,29-Sep-13,9:04:00 AM,1047257,1,1,1,9997,1,1,1,1,1,9997,1,1,1,9997,1,1,1,1,9997,1,9997,1,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1
