quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01,Q01_corr,Q02v1,Q02v2,Q02_corr,Q03v1,Q03v2,Q03_corr,Q04v1,Q04v2,Q04_corr,Q05v1,Q05v2,Q05_corr,Q06v1,Q06v2,Q06_corr,Q07v1,Q07v2,Q07_corr,Q08v1,Q08v2,Q08_corr,Q09v1,Q09v2,Q09_corr,Q10v1,Q10v2,Q10_corr,Q11v1,Q11v2,Q11v3,Q11_corr,Q12v1,Q12v2,Q12v3,Q12v4,Q12v5,Q12_corr,Q13v1,Q13v2,Q13_corr,Q14v1,Q14v2,Q14v3,Q14_corr,Q15v1,Q15v2,Q15v3,Q15v4,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19v1,Q19v2,Q19_corr,Q20,Q20_corr
W07Q01,24085,04-Oct-13,1:40:00 PM,2401487,2,0,4,9997,0,9997,1,1,1,9997,1,9997,4,0,1,9997,1,9997,3,0,2,9997,0,1,9997,1,1,9997,1,9997,9997,5,0,4,9997,9997,9997,9997,0,4,9997,0,1,9997,9997,1,9997,4,9997,9997,0,3,0,4,0,2,0,4,9997,0,5,0
W07Q01,24098,04-Oct-13,2:39:00 PM,2353559,1,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,9997,1,1,9997,1,1,9997,1,1,1,9997,1,9997,1,1,1,9997,9997,1,9997,9997,9997,1,9997,1,9997,1,1,1,9997,9997,1,9997,9997,9997,1,1,1,1,1,1,1,1,1,9997,1,1,1
W07Q01,24157,04-Oct-13,6:42:00 PM,4224622,1,1,9997,1,1,9997,1,1,9997,1,1,2,9997,0,1,9997,1,1,9997,1,9997,1,1,9997,1,1,9997,4,0,9997,9997,2,0,1,9997,9997,9997,9997,1,1,9997,1,9997,1,9997,1,9997,9997,9997,1,1,1,1,1,1,1,1,9997,5,0,3,0
W07Q01,24159,04-Oct-13,6:46:00 PM,1161754,3,0,1,9997,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,9997,9997,1,1,9997,9997,1,9997,9997,1,9997,1,1,1,9997,9997,1,9997,1,9997,9997,1,1,1,4,0,3,0,1,9997,1,1,1
W07Q01,24191,04-Oct-13,9:06:00 PM,2091949,3,0,9997,1,1,1,9997,1,9997,1,1,5,9997,0,9997,1,1,1,9997,1,1,9997,1,9997,1,1,9997,1,1,9997,9997,2,0,4,9997,9997,9997,9997,0,1,9997,1,9997,1,9997,1,9997,9997,1,9997,1,1,1,1,1,1,1,9997,1,1,3,0
W07Q01,24220,04-Oct-13,11:59:00 PM,1788123,1,1,9997,1,1,9997,1,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,9997,9997,1,1,9997,1,9997,9997,9997,1,1,9997,1,9997,9997,1,1,9997,1,9997,9997,1,1,1,1,1,1,1,9997,1,1,1,1
W07Q01,24226,05-Oct-13,1:02:00 AM,4395858,1,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,1,9997,1,9997,4,0,5,9997,9997,0,4,9997,9997,9997,9997,0,9997,1,1,9997,1,9997,1,9997,9997,1,9997,1,1,1,1,1,1,1,1,9997,1,1,1
W07Q01,24266,05-Oct-13,7:01:00 AM,2997260,1,1,1,9997,1,9997,1,1,1,9997,1,9997,1,1,9997,5,0,1,9997,1,9997,1,1,1,9997,1,9997,1,1,9997,9997,1,1,9997,9997,1,9997,9997,1,1,9997,1,1,9997,9997,1,9997,9997,1,9997,1,1,1,1,1,1,1,1,9997,1,1,1
W07Q01,24280,05-Oct-13,8:55:00 AM,1390668,1,1,9997,1,1,1,9997,1,9997,1,1,5,9997,0,1,9997,1,9997,1,1,9997,1,1,1,9997,1,9997,1,1,2,9997,9997,0,9997,9997,9997,9997,1,1,9997,1,1,9997,9997,1,1,9997,2,9997,9997,0,2,0,1,1,1,1,9997,5,0,1,1
W07Q01,24318,05-Oct-13,1:24:00 PM,3175991,1,1,9997,1,1,9997,1,1,9997,1,1,1,9997,1,9997,1,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,5,9997,9997,0,9997,9997,9997,1,9997,1,9997,1,1,9997,1,9997,1,1,9997,9997,9997,1,1,1,1,1,1,1,9997,1,1,3,0
