quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01,Q01_corr,Q02,Q02_corr,Q03,Q03_corr,Q04,Q04_corr,Q05,Q05_corr,Q06,Q06_corr,Q07,Q07_corr,Q08,Q08_corr,Q09v1,Q09v2,Q09v3,Q09_corr,Q10,Q10_corr,Q11,Q11_corr,Q12v1,Q12v2,Q12v3,Q12_corr,Q13v1,Q13v2,Q13v3,Q13v4,Q13_corr,Q14v1,Q14v2,Q14_corr,Q15,Q15_corr,Q16,Q16_corr,Q17v1,Q17v2,Q17_corr,Q18,Q18_corr,Q19,Q19_corr,Q20,Q20_corr
W08Q01,26155,11-Oct-13,3:40:00 PM,4224622,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,9997,1,4,0,4,0,1,9997,9997,1,9999,1,9997,9997,1,1,9997,1,1,1,1,1,9997,1,1,5,0,1,1,1,1
W08Q01,26160,11-Oct-13,4:28:00 PM,1161754,5,0,2,0,4,0,1,1,1,1,1,1,1,1,1,1,9997,1,9997,1,1,1,1,1,1,9997,9997,1,9999,9997,9997,1,1,2,9997,0,1,1,1,1,9997,1,1,5,0,1,1,1,1
W08Q01,26221,11-Oct-13,11:01:00 PM,1430689,1,1,1,1,5,0,1,1,1,1,1,1,1,1,2,0,9997,9997,1,1,2,0,5,0,9997,5,9997,0,2,9997,9997,9997,0,9997,1,1,4,0,4,0,9997,1,1,5,0,3,0,2,0
W08Q01,26225,11-Oct-13,11:17:00 PM,2301739,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,9997,1,9997,1,4,0,3,0,9997,1,9997,1,1,9997,9997,9997,1,1,9997,1,5,0,1,1,9997,2,0,1,1,1,1,1,1
W08Q01,26245,12-Oct-13,2:57:00 AM,1788123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,9997,1,1,1,1,1,9997,9997,1,1,9999,1,9997,9997,1,1,9997,1,1,1,1,1,1,9997,1,1,1,1,1,1,1
W08Q01,26246,12-Oct-13,2:59:00 AM,3330205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,9997,1,1,1,5,0,9997,1,9997,1,9999,9997,9997,1,1,4,9997,0,1,1,1,1,1,9997,1,1,1,1,1,4,0
W08Q01,26259,12-Oct-13,4:18:00 AM,4138622,1,1,1,1,4,0,5,0,2,0,2,0,4,0,4,0,9997,9997,1,1,2,0,1,1,9997,9997,2,0,2,9997,9997,9997,0,2,9997,0,3,0,4,0,9997,2,0,4,0,5,0,3,0
W08Q01,26293,12-Oct-13,8:25:00 AM,3960219,1,1,2,0,3,0,1,1,1,1,1,1,1,1,3,0,9997,1,9997,1,4,0,4,0,5,9997,9997,0,9999,2,9997,9997,0,9997,3,0,3,0,3,0,9997,1,1,5,0,4,0,2,0
W08Q01,26301,12-Oct-13,9:13:00 AM,2353559,1,1,1,1,3,0,1,1,3,0,1,1,1,1,1,1,9997,1,9997,1,5,0,3,0,1,9997,9997,1,9999,9997,9997,1,1,9997,1,1,1,1,1,1,9997,3,0,1,1,1,1,1,1
W08Q01,26313,12-Oct-13,9:58:00 AM,274657,1,1,1,1,5,0,2,0,1,1,1,1,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,9997,1,1,9999,1,9997,9997,1,9997,1,1,1,1,1,1,9997,3,0,2,0,1,1,2,0
W08Q01,26317,12-Oct-13,10:14:00 AM,4077910,1,1,1,1,5,0,5,0,4,0,3,0,1,1,1,1,9997,1,9997,1,5,0,3,0,1,9997,9997,1,9999,1,9997,9997,1,9997,3,0,5,0,3,0,9997,1,1,2,0,1,1,4,0
W08Q01,26321,12-Oct-13,10:54:00 AM,3226739,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,9997,1,1,1,1,1,9997,1,9997,1,9999,1,9997,9997,1,9997,2,0,1,1,1,1,1,9997,1,1,1,1,1,1,1
W08Q01,26330,12-Oct-13,11:24:00 AM,4094087,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,9997,1,1,5,0,1,1,9997,9997,1,1,9999,9997,5,9997,0,9997,1,1,1,1,4,0,1,9997,1,1,1,2,0,1,1
W08Q01,26353,12-Oct-13,1:41:00 PM,4396215,1,1,1,1,5,0,1,1,1,1,2,0,1,1,1,1,9997,1,9997,1,1,1,1,1,2,9997,9997,0,9999,9997,9997,1,1,1,9997,1,1,1,1,1,1,9997,1,1,1,2,0,1,1
W08Q01,26359,12-Oct-13,2:00:00 PM,4438825,1,1,1,1,5,0,1,1,1,1,5,0,5,0,1,1,9997,3,9997,0,1,1,5,0,2,9997,9997,0,9999,9997,1,9997,1,2,9997,0,5,0,4,0,9997,5,0,5,0,5,0,4,0
W08Q01,26374,12-Oct-13,3:10:00 PM,773066,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,9997,9997,1,1,1,1,1,9997,9997,5,0,9999,9997,1,9997,1,9997,1,1,1,1,1,1,9997,1,1,1,1,1,1,4,0
W08Q01,26379,12-Oct-13,3:19:00 PM,2923593,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,9997,1,1,1,3,0,1,9997,9997,1,3,9997,9997,9997,0,1,9997,1,5,0,2,0,3,9997,0,1,1,2,0,1,1
W08Q01,26399,12-Oct-13,5:03:00 PM,2029348,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,9997,1,1,1,1,4,0,1,9997,9997,1,9999,9997,9997,1,1,9997,1,1,1,1,1,1,9997,1,1,1,1,2,0,1,1
W08Q01,26426,12-Oct-13,6:14:00 PM,1128405,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,1,9997,1,9999,9997,1,9997,1,9997,1,1,1,1,1,1,1,9997,1,5,0,1,1,1,1
W08Q01,26438,12-Oct-13,6:57:00 PM,3091767,1,1,1,1,5,0,1,1,1,1,1,1,1,1,1,1,3,9997,9997,0,5,0,3,0,9997,4,9997,0,9999,9997,5,9997,0,9997,4,0,1,1,4,0,4,9997,0,1,1,3,0,4,0
W08Q01,26501,13-Oct-13,1:15:00 AM,3834663,1,1,1,1,1,1,1,1,1,1,1,1,5,0,3,0,9997,9997,1,1,2,0,3,0,9997,9997,4,0,3,9997,9997,9997,0,9997,1,1,3,0,5,0,9997,4,0,2,0,1,1,2,0
W08Q01,26506,13-Oct-13,2:13:00 AM,2182043,1,1,2,0,3,0,2,0,5,0,4,0,4,0,5,0,9997,4,9997,0,5,0,1,1,5,9997,9997,0,9999,9997,9997,1,1,1,9997,1,3,0,5,0,9997,4,0,3,0,4,0,5,0
W08Q01,26557,13-Oct-13,6:29:00 AM,4180347,1,1,2,0,4,0,1,1,1,1,1,1,3,0,1,1,9997,9997,1,1,4,0,1,1,9997,9997,5,0,9999,9997,3,9997,0,9997,2,0,5,0,1,1,4,9997,0,5,0,2,0,4,0
W08Q01,26563,13-Oct-13,6:40:00 AM,2816937,5,0,1,1,4,0,1,1,4,0,2,0,5,0,4,0,9997,4,9997,0,1,1,5,0,9997,5,9997,0,9999,9997,9997,2,0,4,9997,0,1,1,4,0,3,9997,0,5,0,1,1,4,0
W08Q01,26592,13-Oct-13,8:45:00 AM,3378401,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,9997,1,1,1,1,1,9997,1,9997,1,9999,1,9997,9997,1,9997,1,1,1,1,1,1,3,9997,0,1,1,1,1,1,1
W08Q01,26619,13-Oct-13,10:15:00 AM,1390668,1,1,1,1,3,0,1,1,1,1,1,1,1,1,1,1,9997,9997,2,0,2,0,1,1,9997,9997,1,1,9999,1,9997,9997,1,1,9997,1,1,1,4,0,9997,3,0,1,1,1,1,4,0
W08Q01,26628,13-Oct-13,10:52:00 AM,4173924,1,1,1,1,3,0,1,1,1,1,1,1,1,1,1,1,9997,1,9997,1,5,0,2,0,9997,1,9997,1,9999,5,9997,9997,0,9997,4,0,1,1,1,1,4,9997,0,1,1,1,1,5,0
W08Q01,26638,13-Oct-13,11:23:00 AM,3824363,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,9997,1,5,0,2,0,9997,1,9997,1,9999,1,9997,9997,1,1,9997,1,1,1,1,1,9997,1,1,5,0,1,1,4,0
W08Q01,26675,13-Oct-13,12:37:00 PM,3374956,1,1,1,1,1,1,1,1,1,1,1,1,5,0,1,1,9997,1,9997,1,1,1,1,1,1,9997,9997,1,9999,1,9997,9997,1,1,9997,1,1,1,1,1,1,9997,1,1,1,4,0,2,0
W08Q01,26682,13-Oct-13,12:52:00 PM,1258814,1,1,2,0,3,0,1,1,1,1,1,1,1,1,1,1,9997,1,9997,1,1,1,1,1,9997,1,9997,1,9999,9997,9997,1,1,1,9997,1,1,1,1,1,1,9997,1,1,1,1,1,1,1
W08Q01,26683,13-Oct-13,12:52:00 PM,1702755,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,9997,1,1,1,1,1,9997,9997,5,0,9999,9997,9997,1,1,9997,1,1,1,1,1,1,9997,1,1,1,1,2,0,1,1
W08Q01,26694,13-Oct-13,1:22:00 PM,4189068,1,1,2,0,5,0,1,1,1,1,1,1,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,9997,5,0,9999,1,9997,9997,1,9997,1,1,1,1,1,1,9997,5,0,5,0,1,1,5,0
W08Q01,26710,13-Oct-13,1:53:00 PM,2955426,1,1,1,1,1,1,1,1,1,1,1,1,5,0,1,1,9997,9997,1,1,1,1,1,1,1,9997,9997,1,9999,9997,9997,1,1,1,9997,1,1,1,1,1,3,9997,0,5,0,1,1,1,1
W08Q01,26713,13-Oct-13,2:03:00 PM,2997260,1,1,1,1,1,1,1,1,1,1,1,1,5,0,1,1,9997,9997,1,1,1,1,3,0,9997,9997,1,1,9999,9997,1,9997,1,9997,1,1,1,1,1,1,2,9997,0,1,1,1,1,1,1
W08Q01,26735,13-Oct-13,3:01:00 PM,4308072,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,9997,1,5,0,2,0,9997,5,9997,0,9999,9997,1,9997,1,9997,1,1,1,1,4,0,9997,1,1,1,1,3,0,4,0
W08Q01,26771,13-Oct-13,4:12:00 PM,3175991,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,9997,5,0,9999,1,9997,9997,1,1,9997,1,1,1,1,1,9997,1,1,1,1,1,1,1,1
W08Q01,26772,13-Oct-13,4:15:00 PM,4168258,4,0,1,1,3,0,1,1,1,1,1,1,1,1,1,1,9997,1,9997,1,3,0,3,0,9997,9997,4,0,9999,2,9997,9997,0,1,9997,1,1,1,4,0,9997,5,0,5,0,1,1,1,1
W08Q01,26783,13-Oct-13,4:26:00 PM,2666549,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,9997,1,3,0,3,0,9997,9997,5,0,9999,9997,9997,1,1,9997,4,0,4,0,2,0,9997,2,0,5,0,3,0,2,0
W08Q01,26804,13-Oct-13,4:52:00 PM,4181143,1,1,1,1,1,1,1,1,1,1,1,1,5,0,1,1,9997,1,9997,1,1,1,1,1,9997,9997,1,1,9999,9997,1,9997,1,1,9997,1,1,1,1,1,9997,1,1,1,1,1,1,2,0
W08Q01,26832,13-Oct-13,5:35:00 PM,4061349,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,9997,1,5,0,1,1,9997,9997,1,1,9999,9997,9997,1,1,1,9997,1,1,1,1,1,9997,1,1,1,1,2,0,5,0
W08Q01,26858,13-Oct-13,5:59:00 PM,2217336,1,1,1,1,1,1,2,0,3,0,1,1,1,1,4,0,4,9997,9997,0,2,0,3,0,9997,3,9997,0,2,9997,9997,9997,0,9997,1,1,3,0,4,0,9997,3,0,5,0,2,0,2,0
W08Q01,26859,13-Oct-13,6:00:00 PM,3515885,1,1,1,1,5,0,1,1,1,1,3,0,1,1,1,1,9997,1,9997,1,1,1,1,1,9997,9997,5,0,9999,1,9997,9997,1,1,9997,1,1,1,1,1,4,9997,0,5,0,2,0,2,0
W08Q01,26865,13-Oct-13,6:05:00 PM,3395118,5,0,1,1,3,0,1,1,1,1,1,1,1,1,1,1,1,9997,9997,1,1,1,1,1,9997,9997,1,1,9999,1,9997,9997,1,9997,1,1,1,1,1,1,5,9997,0,1,1,1,1,1,1
W08Q01,26874,13-Oct-13,6:12:00 PM,4259653,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,9997,9997,1,3,0,1,1,9997,1,9997,1,1,9997,9997,9997,1,9997,1,1,1,1,3,0,1,9997,1,1,1,2,0,2,0
W08Q01,26882,13-Oct-13,6:18:00 PM,2638990,1,1,1,1,5,0,2,0,1,1,2,0,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,9997,1,1,9999,4,9997,9997,0,9997,1,1,1,1,1,1,1,9997,1,2,0,1,1,1,1
W08Q01,26958,13-Oct-13,8:16:00 PM,2546118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,9997,1,1,9999,9997,2,9997,0,1,9997,1,1,1,4,0,9997,5,0,1,1,1,1,1,1
W08Q01,27027,13-Oct-13,9:31:00 PM,3669811,1,1,1,1,5,0,1,1,1,1,1,1,1,1,1,1,9997,2,9997,0,5,0,3,0,9997,9997,1,1,9999,9997,5,9997,0,1,9997,1,1,1,1,1,2,9997,0,1,1,1,1,1,1
W08Q01,27028,13-Oct-13,9:32:00 PM,4718342,1,1,1,1,1,1,1,1,1,1,1,1,4,0,1,1,9997,1,9997,1,1,1,1,1,9997,9997,1,1,9999,1,9997,9997,1,1,9997,1,1,1,1,1,9997,1,1,1,1,1,1,4,0
W08Q01,27032,13-Oct-13,9:35:00 PM,2067462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,9997,1,1,9999,9997,9997,1,1,1,9997,1,1,1,1,1,9997,5,0,1,1,1,1,1,1
W08Q01,27049,13-Oct-13,9:56:00 PM,2218696,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,9997,1,1,1,1,1,9997,9997,1,1,9999,1,9997,9997,1,1,9997,1,3,0,4,0,1,9997,1,1,1,1,1,1,1
W08Q01,27062,13-Oct-13,10:07:00 PM,4196273,1,1,3,0,5,0,1,1,4,0,5,0,4,0,4,0,1,9997,9997,1,2,0,4,0,1,9997,9997,1,9999,9997,9997,1,1,9997,1,1,5,0,4,0,3,9997,0,5,0,1,1,2,0
W08Q01,27190,14-Oct-13,12:53:00 AM,1703168,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,9997,1,1,1,4,0,9997,1,9997,1,9999,9997,1,9997,1,1,9997,1,1,1,1,1,1,9997,1,5,0,3,0,1,1
W08Q01,27232,14-Oct-13,2:06:00 AM,2630926,1,1,1,1,3,0,1,1,1,1,2,0,1,1,1,1,1,9997,9997,1,5,0,5,0,1,9997,9997,1,3,9997,9997,9997,0,1,9997,1,1,1,1,1,1,9997,1,1,1,1,1,1,1
W08Q01,27291,14-Oct-13,3:03:00 AM,567557,2,0,2,0,5,0,1,1,4,0,4,0,5,0,2,0,4,9997,9997,0,5,0,3,0,9997,9997,5,0,9999,9997,2,9997,0,9997,5,0,1,1,3,0,9997,4,0,5,0,4,0,1,1
W08Q01,27323,14-Oct-13,3:27:00 AM,239084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,9997,9997,1,1,1,1,1,1,9997,9997,1,1,9999,9997,2,9997,0,9997,1,1,1,1,1,1,9997,1,1,5,0,1,1,1,1
W08Q01,27337,14-Oct-13,3:38:00 AM,1701013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,9997,1,1,5,0,1,1,1,9997,9997,1,3,9997,9997,9997,0,1,9997,1,1,1,1,1,9997,4,0,2,0,1,1,5,0
W08Q01,27434,14-Oct-13,5:11:00 AM,2037783,1,1,2,0,1,1,4,0,1,1,1,1,1,1,1,1,9997,2,9997,0,2,0,5,0,9997,9997,4,0,9999,1,9997,9997,1,9997,1,1,1,1,1,1,1,9997,1,5,0,3,0,5,0
W08Q01,27435,14-Oct-13,5:15:00 AM,2737544,1,1,1,1,2,0,1,1,1,1,4,0,1,1,1,1,9997,1,9997,1,3,0,1,1,1,9997,9997,1,9999,9997,9997,1,1,9997,1,1,5,0,2,0,9997,4,0,1,1,5,0,2,0
W08Q01,27441,14-Oct-13,6:10:00 AM,1423374,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,9997,9997,1,1,1,1,1,1,1,9997,9997,1,1,9997,9997,9997,1,1,9997,1,1,1,1,1,1,9997,1,1,1,1,1,1,1
W08Q01,27458,14-Oct-13,9:44:00 AM,4260958,1,1,1,1,3,0,1,1,1,1,1,1,1,1,2,0,1,9997,9997,1,5,0,5,0,9997,9997,1,1,9999,9997,3,9997,0,9997,1,1,1,1,1,1,9997,1,1,1,1,5,0,5,0
W08Q01,27460,14-Oct-13,9:50:00 AM,4384478,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,9997,1,1,1,2,0,9997,9997,1,1,9999,9997,9997,1,1,9997,1,1,1,1,1,1,3,9997,0,1,1,1,1,1,1
W08Q01,27463,14-Oct-13,10:30:00 AM,2213903,1,1,1,1,1,1,1,1,3,0,1,1,1,1,1,1,1,9997,9997,1,4,0,1,1,9997,9997,5,0,1,9997,9997,9997,1,9997,1,1,1,1,1,1,9997,1,1,5,0,2,0,1,1
W08Q01,27464,14-Oct-13,10:51:00 AM,4556652,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,9997,1,1,1,1,1,1,9997,9997,1,9999,9997,1,9997,1,9997,1,1,1,1,1,1,9997,1,1,5,0,1,1,1,1
W08Q01,27468,14-Oct-13,11:11:00 AM,4162371,1,1,1,1,4,0,4,0,2,0,4,0,1,1,3,0,9997,2,9997,0,2,0,2,0,9997,2,9997,0,9999,9997,9997,5,0,2,9997,0,9999,0,2,0,1,9997,1,1,1,9999,0,2,0
W08Q01,27471,14-Oct-13,11:14:00 AM,4164306,1,1,1,1,1,1,1,1,3,0,1,1,1,1,1,1,9997,1,9997,1,1,1,1,1,1,9997,9997,1,1,9997,9997,9997,1,9997,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1
W08Q01,27473,14-Oct-13,11:24:00 AM,1629517,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,9997,1,1,9999,9997,9997,1,1,9997,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1
W08Q01,27480,14-Oct-13,12:17:00 PM,1431919,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,9997,1,1,1,1,1,9997,9997,1,1,9999,1,9997,9997,1,1,9997,1,1,1,1,1,1,9997,1,1,1,1,1,1,1
W08Q01,27489,14-Oct-13,2:05:00 PM,4347232,4,0,1,1,4,0,2,0,5,0,3,0,1,1,3,0,9997,4,9997,0,2,0,4,0,5,9997,9997,0,1,9997,9997,9997,1,3,9997,0,1,1,4,0,9997,5,0,3,0,1,1,2,0
W08Q01,27490,14-Oct-13,2:19:00 PM,1047257,1,1,1,1,1,1,1,1,1,1,2,0,1,1,3,0,9997,9997,1,1,1,1,1,1,9997,9997,1,1,9999,9997,1,9997,1,1,9997,1,1,1,1,1,1,9997,1,1,1,1,1,1,1
W08Q01,27491,14-Oct-13,2:20:00 PM,3660020,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,9997,1,5,0,1,1,1,9997,9997,1,1,9997,9997,9997,1,1,9997,1,1,1,1,1,9997,5,0,1,1,2,0,5,0
W08Q01,27498,14-Oct-13,2:54:00 PM,4614771,1,1,1,1,5,0,1,1,1,1,1,1,5,0,1,1,9997,1,9997,1,1,1,3,0,9997,9997,5,0,1,9997,9997,9997,1,1,9997,1,1,1,1,1,2,9997,0,1,1,2,0,1,1
W08Q01,27503,14-Oct-13,3:20:00 PM,3190710,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,9997,1,1,1,1,1,9997,9997,1,1,1,9997,9997,9997,1,9997,1,1,1,1,1,1,9997,1,1,1,1,1,1,5,0
W08Q01,27505,14-Oct-13,4:00:00 PM,3941492,1,1,1,1,5,0,5,0,1,1,1,1,1,1,1,1,1,9997,9997,1,2,0,3,0,2,9997,9997,0,9999,9997,4,9997,0,9997,5,0,1,1,3,0,9997,4,0,2,0,1,1,4,0
W08Q01,27507,14-Oct-13,4:15:00 PM,3935247,1,1,1,1,1,1,1,1,1,1,5,0,1,1,1,1,9997,1,9997,1,5,0,1,1,9997,2,9997,0,9999,9997,9997,1,1,1,9997,1,1,1,1,1,1,9997,1,5,0,1,1,5,0
W08Q01,27514,14-Oct-13,5:12:00 PM,3974193,1,1,2,0,1,1,5,0,1,1,1,1,5,0,1,1,1,9997,9997,1,1,1,3,0,9997,1,9997,1,9999,9997,9997,1,1,1,9997,1,1,1,1,1,3,9997,0,1,1,1,1,2,0
W08Q01,27517,14-Oct-13,5:33:00 PM,1084801,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,9997,1,2,0,1,1,9997,9997,5,0,9999,9997,9997,1,1,1,9997,1,1,1,1,1,1,9997,1,1,1,2,0,1,1
W08Q01,27519,14-Oct-13,5:38:00 PM,1392779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,9997,1,1,1,1,5,0,9997,1,9997,1,3,9997,9997,9997,0,1,9997,1,1,1,4,0,9997,4,0,1,1,3,0,2,0
